"","ErroRate","Precision","recall","F1"
"1",0.0362318840579711,0.938271604938272,1,0.968152866242038
"2",0.0362318840579711,0.941176470588235,1,0.96969696969697
"3",0.0291970802919708,0.956521739130435,0.985074626865672,0.970588235294118
"4",0.0291970802919708,0.961038961038961,0.986666666666667,0.973684210526316
"5",0.0437956204379562,0.935897435897436,0.986486486486487,0.960526315789474
"6",0.0656934306569343,0.933333333333333,0.945945945945946,0.939597315436242
"7",0.0291970802919708,0.950617283950617,1,0.974683544303797
"8",0.0437956204379562,0.935897435897436,0.986486486486487,0.960526315789474
"9",0.0218978102189781,0.955882352941177,1,0.977443609022556
"10",0.0802919708029197,0.857142857142857,0.983606557377049,0.916030534351145
